epoch,dense_14_loss,dense_9_loss,lambda_17_loss,lambda_18_loss,lambda_19_loss,lambda_20_loss,loss,val_dense_14_loss,val_dense_9_loss,val_lambda_17_loss,val_lambda_18_loss,val_lambda_19_loss,val_lambda_20_loss,val_loss
0,0.11800168941915744,0.12459907877734619,0.12586481022780693,0.16076345357456853,0.1202342000710101,0.15309949816478202,0.8025627316204612,0.060672088723322165,0.06335619812880999,0.07390559731545025,0.1306328365820894,0.0666653175880493,0.12943479693468724,0.5246668432825918
1,0.04264999330079231,0.04385549256414593,0.06630541469995441,0.11840400360256138,0.057461323533256926,0.1206354320535614,0.44931166026063707,0.02645336641235743,0.02559398967844407,0.04045831857793713,0.11343651213107976,0.03943298323152784,0.12211376363394202,0.3674889352753028
2,0.0223515782107815,0.021640446626767885,0.03882002682909945,0.09935061318155074,0.039582240617523634,0.1104181403907091,0.3321630442527624,0.021369165546086765,0.019295117848458533,0.026530996953558657,0.09779851006321993,0.033549534963949135,0.11240843725104571,0.3109517656613551
3,0.018138549421584375,0.016958347521040803,0.028113804411931304,0.08774068994051425,0.03341998055000445,0.10239329661187563,0.2867646686391194,0.019328966377213975,0.01667258001443098,0.02160795821856261,0.09092963825908972,0.031172390660695375,0.10687807927048036,0.2865896110557607
4,0.01602760045705867,0.014243821566534287,0.023466028865341045,0.08104862331049724,0.029935479593409028,0.09722613338845162,0.26194768828435594,0.0187493067305283,0.015375004891100358,0.019106957452137006,0.08576107946872563,0.02954086463281007,0.10328987426708974,0.27182308681110356
5,0.014545547784136446,0.012497422414354451,0.02053044248489673,0.07614609705565907,0.027615578276897177,0.0933698176362264,0.24470490563908523,0.017284015009745097,0.014231618829672749,0.017661438904550044,0.08204657967132414,0.028299877596967046,0.10073499422703079,0.2602585246665074
6,0.013524692510845725,0.011486068657158417,0.018573216259022092,0.07254207473313533,0.026008217375627234,0.09037917734772465,0.2325134463609628,0.016446538675058468,0.013315639342687225,0.016243875308816734,0.07906991099761851,0.027229519851140395,0.09880589374672323,0.2511113788736007
7,0.012850218394891233,0.010708142304256308,0.017098088250055404,0.06962974746702863,0.024824778847978388,0.08800856618361357,0.22311954137677573,0.01576625138999863,0.012992358896569167,0.015708209195796893,0.07654268260117941,0.026110631568111078,0.09706135146426237,0.24418148374350304
8,0.012177510851335338,0.01008746272316847,0.015983029682428984,0.06730052186830093,0.023692554392465506,0.08604705961411113,0.21528813967824806,0.014964405152123493,0.012124704249511911,0.014854501910891538,0.07451717784220131,0.02517199753376081,0.09577476664970633,0.2374075511221853
9,0.011746880256041918,0.009642291125248828,0.015116656247212501,0.0654251147367586,0.02270544195866444,0.08452923154366195,0.20916561583903281,0.014563912246260656,0.011475063315844181,0.014405440740301178,0.07274399700324259,0.024188843049330975,0.09466896786323843,0.2320462259204398
